sampling;haul;catchday;deathday;catch_date;death_date;ID;TL_mm;SL_mm;wet_weight_g;dry_weight+schale;weight_schale;dry_weight_g;oto_1/2;oto_weight_mg;oto_diameter_mm;foto;age;quality;first_change;sec_change_;comment
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;708;62;56;1.72;28.971;28.67;0.301;1;2.158;2.8063;y;115;22111;29;48;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;714;65;60;1.744;37.787;37.49;0.297;1;1.9337;2.7213;y;111;3111;26;45;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;736;64;58;1.773;44.665;44.35;0.315;2;2.1659;NA;y;116;431112;20;38;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;737;64;58;1.889;48.77;48.409;0.361;1;2.6233;3.0241;y;106;211112;31;47;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;741;62;55;1.567;36.652;36.362;0.29;1;2.1437;2.6835;y;115;411111;16;43;besonders guter kern
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;742;62;56;1.591;48.117;47.826;0.291;1;2.1004;2.7411;y;121;31113;17;55;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;745;63;58;1.824;28.766;28.439;0.327;1;1.981;2.7561;y;127;2111;23;54;besonders guter kern
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;746;63;58;1.825;52.616;52.289;0.327;2;2.3927;2.9489;y;120;21111;25;45;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;747;63;58;1.834;44.213;43.881;0.332;2;2.3843;2.9042;y;131;4111113;21;55;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;701;48;44;0.8076;28.206;28.067;0.139;1;0.8481;NA;y;97;4221;13;39;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;702;57;52;1.331;63.321;63.092;0.229;1;1.58;NA;y;127;43111;20;57;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;703;55;50;1.051;47.483;47.293;0.19;2;1.2334;2.2728;y;108;3311;;73;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;705;56;51;1.252;89.112;88.894;0.218;1;1.4072;2.3853;y;118;2112;30;63;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;707;59;54;1.5535;56.507;56.231;0.276;2;1.8233;2.644;y;104;331111;15;33;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;709;55;50;1.2485;54.271;54.049;0.222;2;1.3882;2.3709;y;105;4211;22;49;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;710;40;36;0.4391;94.147;94.073;0.074;1;0.4501;1.4834;y;78;121;18;46;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;711;57;52;1.3415;37.226;36.988;0.238;2;1.4406;2.4803;y;112;2111;26;53;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;712;48;44;0.7152;35.769;35.644;0.125;2;0.7723;1.9392;y;103;3211;26;56;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;713;43;39;0.5072;48.285;48.198;0.087;2;0.6179;1.7445;y;95;421;24;54;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;715;50;46;0.8517;49.843;49.7;0.143;1;1.0703;2.1126;y;120;4311;32;69;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;716;56;50;1.0555;44.317;44.127;0.19;2;1.3665;2.5021;y;104;211;25;46;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;717;51;47;0.9263;28.883;28.716;0.167;2;1.3546;2.4116;y;98;22111;16;35;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;720;51;46;0.8583;36.144;35.995;0.149;1;1.0906;2.1383;y;78;3211;18;34;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;718;56;51;1.2234;42.505;42.291;0.214;1;1.4242;2.3904;y;119;2111;26;57;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;721;56;51;1.1839;36.019;35.811;0.208;1;1.4957;2.4085;y;116;2111;25;48;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;724;49;44;0.8068;34.664;34.528;0.136;2;0.9832;2.1151;y;102;3111;15;50;
Seabull;rene_13_07;195;195;13.07.2016;13.07.2016;728;55;50;1.17;40.6;40.4;0.2;2;1.4487;2.383;y;104;2311;24;56;
Seabull;fahrt_4;230;249;17.08.2016;05.09.2016;801;64;58;2.946;35.892;35.363;0.529;1;4.3736;3.4937;n;;;;;
Seabull;fahrt_4;230;238;17.08.2016;25.08.2016;802;60;55;1.611;36.247;35.994;0.253;1;2.36;2.7282;n;;;;;
Seabull;fahrt_4;230;238;17.08.2016;25.08.2016;803;54;50;0.917;37.89;37.764;0.126;1;1.5581;2.4075;y;;;;;
Seabull;fahrt_4;230;250;17.08.2016;06.09.2016;804;71;66;2.823;29.391;28.866;0.525;1;3.1771;3.2142;y;136;22211;33;59;Nov 20
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;805;118;109;12.934;30.025;NA;2.299;1;12.5948;5.2316;n;;;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;806;93;86;5.842;46.823;45.76;1.063;1;7.1536;4.3636;n;;;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;807;90;84;6.147;53.799;52.733;1.066;1;5.9377;3.9308;n;;;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;808;104;97;9.038;51.27;49.617;1.653;1;10.139;4.9612;n;;;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;809;90;83;5.123;37.795;36.886;0.909;1;5.8794;3.9434;n;;;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;810;87;81;5.005;51.023;50.167;0.856;1;5.7588;3.925;y;173;2212211;15;68;(7/12)
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;811;99;91;7.553;42.611;41.203;1.408;1;8.4992;4.5315;n;;;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;812;85;78;4.892;42.653;41.846;0.807;1;5.9794;3.9962;n;;;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;813;84;77;4.749;49.596;48.822;0.774;1;6.103;3.8735;n;;;;;
Seabull;fahrt_4;230;243;17.08.2016;30.08.2016;814;77;71;3.384;49.275;48.694;0.581;1;4.5168;3.7791;y;137;2111111;26;54;kein eindeutiger Rand
Seabull;fahrt_4;230;243;17.08.2016;30.08.2016;815;81;74;3.818;43.11;42.45;0.66;1;5.8518;3.8714;y;190;3211112;22;70;Aug 13
Seabull;fahrt_4;230;243;17.08.2016;30.08.2016;816;69;63;2.246;43.108;42.72;0.388;1;3.1244;3.1221;y;;;;;
Seabull;fahrt_4;230;243;17.08.2016;30.08.2016;817;80;74;3.969;43.83;43.122;0.708;1;5.2316;3.8147;n;;;;;
Seabull;fahrt_4;230;243;17.08.2016;30.08.2016;818;74;69;3.017;44.08;43.598;0.482;1;4.4508;3.576;n;;;;;
Seabull;fahrt_4;230;243;17.08.2016;30.08.2016;819;85;78;4.858;50.02;49.129;0.891;1;5.6753;3.7881;n;;;;;
Seabull;fahrt_4;230;243;17.08.2016;30.08.2016;820;73;68;2.777;42.884;42.42;0.464;1;4.4917;3.7309;n;;;;;
Seabull;fahrt_4;230;243;17.08.2016;30.08.2016;821;70;65;2.499;49.449;49.051;0.398;1;4.2018;3.467;n;;;;;
Seabull;fahrt_4;230;243;17.08.2016;30.08.2016;822;76;69;3.212;42.8;42.249;0.551;1;4.6009;3.5139;n;;;;;
Seabull;fahrt_4;230;243;17.08.2016;30.08.2016;823;76;70;3.36;49.002;48.455;0.547;1;4.3147;3.589;y;157;21121;18;49;kein eindeutiger Rand
Seabull;fahrt_4;230;243;17.08.2016;30.08.2016;824;78;71;3.737;47.438;46.837;0.601;1;4.6203;3.6432;n;;;;;
Seabull;fahrt_4;230;241;17.08.2016;28.08.2016;825;119;110;15.891;46.163;43.282;2.881;1;13.0387;5.4022;y;145;233334;;;
Seabull;fahrt_4;230;241;17.08.2016;28.08.2016;826;87;79;5.394;30.376;29.383;0.993;1;6.0025;4.0512;n;;;;;ab AP? Kern schwarz…
Seabull;fahrt_4;230;241;17.08.2016;28.08.2016;827;93;85;6.293;46.471;45.365;1.106;1;7.1941;4.0712;n;;;;;
Seabull;fahrt_4;230;241;17.08.2016;28.08.2016;828;87;81;5.822;37.187;36.16;1.027;1;6.8589;4.0919;n;;;;;ab AP?
Seabull;fahrt_4;230;241;17.08.2016;28.08.2016;829;84;78;3.824;36.001;35.363;0.638;1;5.4968;3.874;y;116;3311;;;
Seabull;fahrt_4;230;241;17.08.2016;28.08.2016;830;77;70;3.078;29.536;29.005;0.531;1;4.4885;3.5884;n;;;;;wenn, ab AP
Seabull;fahrt_4;230;241;17.08.2016;28.08.2016;831;82;75;4.062;29.543;28.864;0.679;1;5.5272;3.8066;y;119;3311;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;832;69;64;2.496;53.507;53.094;0.413;1;3.862;3.3983;y;142;11111;18;63;besonders gut
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;833;68;63;2.291;43.593;43.223;0.37;1;3.4771;3.1;n;;;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;834;71;65;2.622;48.834;48.382;0.452;1;3.425;3.2746;n;;;;;wenn, ab AP - aber eher nicht
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;835;65;60;1.802;45.578;45.31;0.268;1;2.6319;2.8016;y;116;3411;16;41;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;836;71;65;2.553;80.474;80.064;0.41;1;3.5176;3.1973;n;;;;;ab AP lesen? Kein Kern sonst sehr gut
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;837;76;70;4.04;48.873;48.28;0.593;1;4.5546;3.6525;y;111;331121;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;838;76;70;3.705;34.773;34.158;0.615;1;4.8249;3.6382;y;151;222211;23;66;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;839;74;68;3.407;42.86;42.294;0.566;1;4.7867;3.6855;y;125;42212;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;840;74;68;3.333;44.391;43.848;0.543;1;4.519;3.654;n;;;;;ab AP lesen?
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;841;73;68;3.348;44.159;43.587;0.572;1;4.9509;3.6483;y;101;42211;16;59;6/12?
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;842;74;68;2.989;42.516;42.015;0.501;1;4.7937;3.7222;y;146;322211;17;52;kein eindeutiger Rand
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;843;60;56;1.668;48.951;48.692;0.259;1;2.2128;2.7109;n;;;;;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;844;70;64;2.586;45.305;44.886;0.419;1;4.1836;3.4647;y;142;44443;17;50;
Seabull;fahrt_4;230;242;17.08.2016;29.08.2016;845;63;58;1.966;53.168;52.857;0.311;1;3.0338;3.138;n;;;;;
Seabull;4;294;294;2016-10-20;2016-10-20;1001;118;109;15.774;NA;NA;NA;1;12.8675;5.3026;y;205;3311111;20;42;"Steffens ID93; schon einmal aufgetaut"
Seabull;4;294;294;2016-10-20;2016-10-20;1002;121;113;15.118;NA;NA;NA;1;15.9077;5.7850;y;192;3411111;;;"Steffens ID94; schon einmal aufgetaut"
Seabull;4;294;294;2016-10-20;2016-10-20;1003;100;93;8.702;NA;NA;NA;1;13.2682;5.2424;n;;;;;"Steffens ID95; schon einmal aufgetaut; ab AP?"
Seabull;4;294;294;2016-10-20;2016-10-20;1004;112;103;NA;NA;NA;NA;1;13.2282;5.4945;n;;;;;"Steffens ID96; schon einmal aufgetaut; ab AP?"
Seabull;4;294;294;2016-10-20;2016-10-20;1005;101;93;8.260;NA;NA;NA;1;10.4093;4.9085;n;;;;;"Steffens ID97; schon einmal aufgetaut; ab AP?"
Seabull;4;294;294;2016-10-20;2016-10-20;1006;97;91;8.066;NA;NA;NA;1;10.3164;5.0063;y;168;422113;;;"Steffens ID98; schon einmal aufgetaut"
Seabull;1;294;294;2016-10-20;2016-10-20;1007;96;90;7.812;NA;NA;NA;1;8.0314;4.6370;y;184;311111;;;"Steffens ID99; schon einmal aufgetaut"
Seabull;1;294;294;2016-10-20;2016-10-20;1008;90;83;6.246;NA;NA;NA;1;6.3022;4.1848;y;169;34111;;;"Steffens ID100; schon einmal aufgetaut"
Seabull;1;294;294;2016-10-20;2016-10-20;1009;137;124;21.208;NA;NA;NA;1;20.3346;6.2068;y;220;42311221111;21;87;"Steffens ID101; schon einmal aufgetaut"
Seabull;1;294;294;2016-10-20;2016-10-20;1010;81;75;4.190;NA;NA;NA;1;5.9967;3.9007;y;131;231221;20;;"Steffens ID102; schon einmal aufgetaut"
Seabull;1;294;294;2016-10-20;2016-10-20;1011;90;83;5.584;NA;NA;NA;1;7.0844;4.4235;n;;;;;"Steffens ID103; schon einmal aufgetaut"
Seabull;1;294;294;2016-10-20;2016-10-20;1012;97;89;NA;NA;NA;NA;1;9.7500;4.7224;n;;;;;"Steffens ID104; schon einmal aufgetaut"
Seabull;1;294;294;2016-10-20;2016-10-20;1013;97;89;7.504;NA;NA;NA;1;9.9879;4.7708;n;;;;;"Steffens ID105; schon einmal aufgetaut; ab AP?"
Seabull;1;294;294;2016-10-20;2016-10-20;1014;95;88;6.617;NA;NA;NA;1;9.5219;4.7102;n;;;;;"Steffens ID106; schon einmal aufgetaut; ab AP?"
Seabull;1;294;294;2016-10-20;2016-10-20;1015;70;65;2.632;NA;NA;NA;1;4.0369;3.3819;n;;;;;"Steffens ID107; schon einmal aufgetaut; ab AP?"
Seabull;1;294;294;2016-10-20;2016-10-20;1016;70;67;2.815;NA;NA;NA;1;4.3356;3.5480;n;;;;;"Steffens ID108; schon einmal aufgetaut"
Seabull;1;294;294;2016-10-20;2016-10-20;1017;80;75;4.322;NA;NA;NA;1;6.0932;3.8927;y;174;231211;32;79;"Steffens ID109; schon einmal aufgetaut"
Seabull;1;294;294;2016-10-20;2016-10-20;1018;68;NA;2.419;NA;NA;NA;1;NA;NA;;;;;;"Steffens ID110; schon einmal aufgetaut"
Seabull;1;294;294;2016-10-20;2016-10-20;1019;118;108;13.600;NA;NA;NA;1;13.5583;5.5454;y;182;121111;31;52;"Steffens ID111; schon einmal aufgetaut"
Buntgarn;NA;;;;;1101;178;163;42.994;111.822;103.8;8.022;1;30.2106;7.435798;;;;;;old ID29
Buntgarn;NA;;;;;1102;182;166;54.025;117.929;107.294;10.635;1;30.9401;7.744533;;;;;;old ID22
Buntgarn;NA;;;;;1103;171;165;40.507;247.53;239.827;7.703;1;29.8328;6.945102;;;;;;old ID9
Buntgarn;NA;;;;;1104;156;143;27.696;113.783;108.623;5.16;1;20.5255;6.491678;;;;;;old ID48
Buntgarn;NA;;;;;1105;145;134;21.015;127.82;123.851;3.969;1;20.2803;NA;;;;;;"old ID27; broken Oto"
Buntgarn;NA;;;;;1106;166;152;40.191;114.906;107.219;7.687;1;30.7224;NA;;;;;;"old ID73; broken Oto"
Buntgarn;NA;;;;;1107;175;163;44.406;237.159;228.77;8.389;1;27.404;7.25287;;;;;;old ID6
Buntgarn;NA;;;;;1108;185;171;55.595;131.577;120.915;10.662;1;32.5009;7.238155;;;;;;old ID37
Buntgarn;NA;;;;;1109;180;165;49.084;113.734;104.305;9.429;1;35.7747;7.668684;;;;;;old ID18
Buntgarn;NA;;;;;1110;174;160;41.219;269.158;261.567;7.591;1;28.2731;7.241137;;;;;;old ID54
Buntgarn;NA;;;;;1111;177;162;44.948;115.886;107.219;8.667;1;30.9065;7.305733;;;;;;old ID58
Buntgarn;NA;;;;;1112;169;155;36.109;117.747;110.619;7.128;1;24.4543;6.825393;;;;;;old ID60
Buntgarn;NA;;;;;1113;158;143;28.43;114.149;108.766;5.383;1;25.5155;7.031232;;;;;;old ID83
Buntgarn;NA;;;;;1114;174;160;42.976;113.213;104.975;8.238;1;32.4584;7.400321;;;;;;old ID5
Buntgarn;NA;;;;;1115;186;170;50.584;111.541;102.108;9.433;1;37.0981;7.505106;;;;;;old ID15
Buntgarn;NA;;;;;1116;141;130;23.087;104.403;99.986;4.417;1;22.4732;6.340168;;;;;;old ID30
Buntgarn;NA;;;;;1117;160;148;35.314;111.473;104.391;7.082;1;26.2507;7.064006;;;;;;old ID13
Buntgarn;NA;;;;;1118;175;161;43.732;110.935;102.001;8.934;1;29.5193;NA;;;;;;"old ID11; broken Oto"
Buntgarn;NA;;;;;1119;168;154;40.848;130.065;121.914;8.151;1;30.8282;7.36908;;;;;;old ID42
Buntgarn;NA;;;;;1120;149;138;27.665;112.33;106.724;5.606;1;22.0828;6.423118;;;;;;old ID14
Buntgarn;NA;;;;;1121;166;151;38.172;113.507;106.711;6.796;1;31.0401;7.024945;;;;;;old ID16
Buntgarn;NA;;;;;1122;178;165;45.255;128.606;120.043;8.563;1;31.9464;7.230072;;;;;;old ID17
Buntgarn;NA;;;;;1123;193;177;64.302;134.89;121.748;13.142;1;38.9045;8.378392;;;;;;old ID1
Buntgarn;NA;;;;;1124;168;154;39.089;114.627;107.029;7.598;1;25.8657;6.57757;;;;;;old ID3
Buntgarn;NA;;;;;1125;198;183;61.503;115.643;102.343;13.3;1;35.85;7.986626;;;;;;old ID72
Alkor;17;;;;;1.301;140;NA;22.1;111.1;107;4.1;1;23.7661;6.6099;;;;;;26
Alkor;17;;;;;1.302;120;NA;13.9;233.8;231.2;2.6;1;16.303;5.6421;;;;;;27
Alkor;17;;;;;1.303;130;NA;21.2;214.5;210.3;4.2;1;22.1;6.3606;;;;;;28
Alkor;17;;;;;1.304;160;NA;37;222.2;214.9;7.3;1;35.307;7.6862;;;;;;29
Alkor;17;;;;;1.305;180;NA;51.1;127.6;117.6;10;1;41;7.7872;;;;;;30
Alkor;17;;;;;1.306;160;NA;39.4;260.3;252.7;7.6;1;33.4;7.5342;;;;;;31
Alkor;17;;;;;1.307;160;NA;37.4;114;106.6;7.4;1;31.6;7.3862;;;;;;32
Alkor;17;;;;;1.308;160;NA;35.6;223;216.2;6.8;1;29.3;6.8741;;;;;;33
Alkor;17;;;;;1.309;170;NA;38.9;236.4;228.8;7.6;1;34.7;7.2756;;;;;;34
Alkor;17;;;;;1.31;170;NA;51.2;252.6;242.4;10.2;1;31.1;7.3863;;;;;;35
Alkor;17;;;;;1.311;170;NA;56;115.7;104.5;11.2;1;36.9;8.1087;;;;;;36
Alkor;17;;;;;1.312;170;NA;51.2;217.4;207.4;10;1;36.2;7.3877;;;;;;37
Alkor;17;;;;;1.313;180;NA;59;272.9;261.6;11.3;1;40.266;7.8677;;;;;;38
Alkor;17;;;;;1.314;180;NA;51.1;116.3;106.5;9.8;1;37.518;7.4359;;;;;;39
Alkor;17;;;;;1.315;190;NA;63.4;270.9;258.5;12.4;1;41.691;8.2599;;;;;;40
Alkor;17;;;;;1.316;140;NA;23.7;260.8;256.3;4.5;1;23.9;6.6872;;;;;;41
Alkor;17;;;;;1.317;140;NA;25.9;169.4;164.3;5.1;1;23.9;6.5742;;;;;;42
Alkor;17;;;;;1.318;150;NA;28.5;96.2;90.4;5.8;1;24.1;6.5996;;;;;;43
Alkor;17;;;;;1.319;150;NA;26.7;121.9;116.7;5.2;1;27.482;6.8203;;;;;;44
Alkor;20;;;;;1.32;190;NA;60.3;119.2;106.6;12.6;1;34.159;7.7425;;;;;;45
Alkor;22;;;;;1.321;190;NA;65.6;235.7;222.7;13;1;41.1;8.2048;;;;;;46
Alkor;18;;;;;1.322;150;NA;32.6;229.7;223.4;6.3;1;30.3;7.0189;;;;;;47
Alkor;18;;;;;1.323;160;NA;35.8;345.8;338.9;6.9;1;32.343;7.7755;;;;;;48
Alkor;18;;;;;1.324;120;NA;16.6;207.6;204.4;3.2;1;18.3806;6.1146;;;;;;49
Alkor;18;;;;;1.325;180;NA;53.5;202;191.6;10.4;1;41.906;8.1624;;;;;;50
